-0.00000, -12.00175, -0.02070, 
0.00002, -12.00175, -0.02071, 
0.00010, -12.00175, -0.02072, 
0.00021, -12.00174, -0.02073, 
0.00034, -12.00172, -0.02074, 
0.00047, -12.00168, -0.02075, 
0.00060, -12.00164, -0.02075, 
0.00070, -12.00160, -0.02076, 
0.00076, -12.00157, -0.02076, 
0.00076, -12.00158, -0.02076, 
0.00066, -12.00162, -0.02076, 
0.00043, -12.00169, -0.02075, 
0.00009, -12.00175, -0.02075, 
-0.00027, -12.00173, -0.02075, 
-0.00056, -12.00166, -0.02076, 
-0.00072, -12.00159, -0.02076, 
-0.00077, -12.00157, -0.02076, 
-0.00074, -12.00158, -0.02076, 
-0.00066, -12.00162, -0.02075, 
-0.00054, -12.00166, -0.02075, 
-0.00040, -12.00170, -0.02075, 
-0.00027, -12.00173, -0.02074, 
-0.00015, -12.00174, -0.02073, 
-0.00005, -12.00175, -0.02072, 
-0.00000, -12.00175, -0.02070, 
-0.00000, -12.00175, -0.02068, 
-0.00006, -12.00174, -0.02065, 
-0.00016, -12.00174, -0.02063, 
-0.00028, -12.00172, -0.02061, 
-0.00039, -12.00170, -0.02060, 
-0.00046, -12.00168, -0.02059, 
-0.00048, -12.00167, -0.02059, 
-0.00046, -12.00168, -0.02059, 
-0.00040, -12.00169, -0.02059, 
-0.00031, -12.00171, -0.02060, 
-0.00021, -12.00173, -0.02060, 
-0.00009, -12.00174, -0.02060, 
0.00003, -12.00174, -0.02060, 
0.00015, -12.00173, -0.02060, 
0.00026, -12.00172, -0.02060, 
0.00036, -12.00170, -0.02059, 
0.00043, -12.00168, -0.02059, 
0.00048, -12.00167, -0.02059, 
0.00048, -12.00167, -0.02059, 
0.00043, -12.00169, -0.02060, 
0.00034, -12.00171, -0.02060, 
0.00022, -12.00173, -0.02062, 
0.00010, -12.00174, -0.02064, 
0.00002, -12.00175, -0.02067, 
-0.00001, -12.00175, -0.02068, 
0.00131, -12.00175, -0.02062, 
0.00111, -12.00161, -0.01722, 
0.00095, -12.00152, -0.01420, 
0.00082, -12.00146, -0.01158, 
0.00070, -12.00144, -0.00938, 
0.00052, -12.00145, -0.00758, 
0.00016, -12.00147, -0.00614, 
-0.00031, -12.00142, -0.00500, 
-0.00076, -12.00124, -0.00396, 
-0.00021, -12.00072, -0.00221, 
0.00149, -11.99959, -0.00231, 
0.00146, -11.99972, -0.00206, 
0.00056, -11.99989, -0.00133, 
-0.00123, -11.99980, -0.00175, 
-0.00153, -11.99964, -0.00225, 
-0.00119, -11.99970, -0.00211, 
0.00077, -12.00115, -0.00330, 
0.00056, -12.00135, -0.00449, 
0.00007, -12.00146, -0.00554, 
-0.00036, -12.00147, -0.00682, 
-0.00063, -12.00144, -0.00843, 
-0.00077, -12.00145, -0.01043, 
-0.00088, -12.00149, -0.01284, 
-0.00102, -12.00155, -0.01566, 
-0.00120, -12.00167, -0.01887, 
-0.00142, -12.00184, -0.02242, 
-0.00167, -12.00207, -0.02625, 
-0.00192, -12.00236, -0.03029, 
-0.00214, -12.00270, -0.03442, 
-0.00229, -12.00308, -0.03854, 
-0.00234, -12.00350, -0.04254, 
-0.00228, -12.00392, -0.04629, 
